,date,open,close,high,low,volume,code
145,2013-08-14,2362.62,2349.08,2386.6,2340.83,75942128.0,hs300
146,2013-08-15,2348.84,2321.58,2362.09,2319.78,61951853.0,hs300
147,2013-08-16,2314.26,2304.14,2423.08,2295.02,120369563.0,hs300
148,2013-08-19,2286.2,2331.43,2340.19,2284.08,72483224.0,hs300
149,2013-08-20,2325.86,2312.47,2353.41,2303.67,73086345.0,hs300
150,2013-08-21,2320.58,2308.59,2321.64,2291.05,55007384.0,hs300
151,2013-08-22,2302.67,2303.93,2329.14,2297.02,55338104.0,hs300
152,2013-08-23,2314.87,2286.93,2321.04,2251.92,68967133.0,hs300
153,2013-08-26,2294.76,2335.62,2336.38,2288.5,70371043.0,hs300
154,2013-08-27,2332.8,2340.88,2345.1,2322.46,65990333.0,hs300
155,2013-08-28,2326.1,2328.06,2345.36,2307.04,89256174.0,hs300
156,2013-08-29,2338.56,2318.31,2342.32,2308.15,66085415.0,hs300
157,2013-08-30,2315.91,2313.91,2334.41,2303.61,87654515.0,hs300
158,2013-09-02,2319.96,2320.34,2329.87,2297.45,79510249.0,hs300
159,2013-09-03,2326.23,2354.5,2354.86,2321.3,80554005.0,hs300
160,2013-09-04,2352.54,2350.7,2360.66,2345.44,78725763.0,hs300
161,2013-09-05,2350.93,2341.74,2351.22,2336.75,62951383.0,hs300
162,2013-09-06,2336.77,2357.78,2361.18,2335.93,73340116.0,hs300
163,2013-09-09,2374.26,2440.61,2449.25,2372.69,149889640.0,hs300
164,2013-09-10,2446.45,2474.89,2475.2,2435.83,154855992.0,hs300
165,2013-09-11,2483.79,2482.89,2504.47,2471.62,166914974.0,hs300
166,2013-09-12,2480.47,2507.46,2527.38,2469.72,145173175.0,hs300
167,2013-09-13,2502.54,2488.9,2515.78,2481.45,110775049.0,hs300
168,2013-09-16,2501.08,2478.39,2503.69,2467.13,105383282.0,hs300
169,2013-09-17,2480.81,2427.32,2481.71,2426.46,99459982.0,hs300
170,2013-09-18,2426.04,2432.51,2439.63,2407.24,71040759.0,hs300
171,2013-09-23,2441.52,2472.29,2473.16,2439.99,80128352.0,hs300
172,2013-09-24,2470.72,2443.89,2470.75,2420.08,97853013.0,hs300
173,2013-09-25,2440.83,2429.03,2455.04,2423.28,90518418.0,hs300
174,2013-09-26,2422.63,2384.44,2422.63,2382.53,86236770.0,hs300
175,2013-09-27,2382.22,2394.97,2402.2,2379.86,65971508.0,hs300
176,2013-09-30,2406.21,2409.04,2415.07,2397.22,59513992.0,hs300
177,2013-10-08,2406.42,2441.81,2446.7,2392.57,84785506.0,hs300
178,2013-10-09,2432.94,2453.58,2453.75,2424.77,76277645.0,hs300
179,2013-10-10,2455.64,2429.32,2455.98,2422.02,90329706.0,hs300
180,2013-10-11,2442.36,2468.51,2471.17,2439.63,93388261.0,hs300
181,2013-10-14,2472.27,2472.54,2483.13,2462.55,100081301.0,hs300
182,2013-10-15,2475.32,2467.52,2479.13,2449.42,89173496.0,hs300
183,2013-10-16,2459.08,2421.37,2459.08,2409.72,88979834.0,hs300
184,2013-10-17,2432.65,2413.33,2440.92,2407.78,71222474.0,hs300
185,2013-10-18,2415.12,2426.05,2435.71,2410.6,60291630.0,hs300
186,2013-10-21,2431.92,2471.32,2472.78,2423.56,84909795.0,hs300
187,2013-10-22,2470.25,2445.89,2470.25,2439.86,90703029.0,hs300
188,2013-10-23,2451.56,2418.49,2474.37,2412.48,91545355.0,hs300
189,2013-10-24,2412.24,2400.51,2422.94,2395.47,64560821.0,hs300
190,2013-10-25,2400.52,2368.56,2413.33,2353.99,77070182.0,hs300
191,2013-10-28,2372.57,2365.95,2377.25,2351.86,62876152.0,hs300
192,2013-10-29,2369.22,2372.05,2408.62,2327.9,106737833.0,hs300
193,2013-10-30,2371.85,2407.47,2407.85,2365.51,92178126.0,hs300
194,2013-10-31,2398.4,2373.72,2398.4,2370.23,82736964.0,hs300
195,2013-11-01,2373.96,2384.96,2395.0,2365.15,63055762.0,hs300
196,2013-11-04,2397.21,2380.45,2404.9,2376.35,51798461.0,hs300
197,2013-11-05,2366.88,2383.77,2385.69,2343.8,62084488.0,hs300
198,2013-11-06,2371.32,2353.57,2383.54,2352.79,63776663.0,hs300
199,2013-11-07,2351.87,2340.55,2356.67,2328.25,54821747.0,hs300
